id,asset_code,name,asset_type,department_id,section_id,location_km,installation_year,health_score,status
AST-001,TRACK-KM-148.3,TRACK Segment at KM 148.3,TRACK,CIVIL,SEC-NDLS-AGC-01,148.3,2012,58.0,MAINTENANCE_REQUIRED
AST-002,TRACK-KM-118.1,TRACK Segment at KM 118.1,TRACK,CIVIL,SEC-NDLS-AGC-01,118.1,2011,46.7,DEGRADED
AST-003,TURNOUT-KM-101.1,TURNOUT Segment at KM 101.1,TURNOUT,CIVIL,SEC-NDLS-AGC-01,101.1,2013,46.4,DEGRADED
AST-004,AXLE_COUNTER-KM-89.8,AXLE_COUNTER Segment at KM 89.8,AXLE_COUNTER,SIGNAL_TELECOM,SEC-NDLS-AGC-01,89.8,2010,59.7,MAINTENANCE_REQUIRED
AST-005,BRIDGE-KM-68.1,BRIDGE Segment at KM 68.1,BRIDGE,CIVIL,SEC-NDLS-AGC-01,68.1,2022,53.2,MAINTENANCE_REQUIRED
AST-006,OHE-KM-18.5,OHE Segment at KM 18.5,OHE,ELECTRICAL,SEC-NDLS-AGC-01,18.5,2015,50.1,MAINTENANCE_REQUIRED
AST-007,OHE-KM-145.9,OHE Segment at KM 145.9,OHE,ELECTRICAL,SEC-NDLS-AGC-01,145.9,2016,73.4,OPERATIONAL
AST-008,SWITCH-KM-165.9,SWITCH Segment at KM 165.9,SWITCH,CIVIL,SEC-NDLS-AGC-01,165.9,2015,77.8,OPERATIONAL
AST-009,TRACK-KM-9.2,TRACK Segment at KM 9.2,TRACK,CIVIL,SEC-NDLS-AGC-01,9.2,2014,57.1,MAINTENANCE_REQUIRED
AST-010,TURNOUT-KM-173.3,TURNOUT Segment at KM 173.3,TURNOUT,CIVIL,SEC-NDLS-AGC-01,173.3,2017,65.1,MAINTENANCE_REQUIRED
AST-011,OHE-KM-74.0,OHE Segment at KM 74.0,OHE,ELECTRICAL,SEC-NDLS-AGC-01,74.0,2014,56.1,MAINTENANCE_REQUIRED
AST-012,TURNOUT-KM-106.8,TURNOUT Segment at KM 106.8,TURNOUT,CIVIL,SEC-NDLS-AGC-01,106.8,2017,58.0,MAINTENANCE_REQUIRED
AST-013,RELAY_BOX-KM-197.9,RELAY_BOX Segment at KM 197.9,RELAY_BOX,SIGNAL_TELECOM,SEC-NDLS-AGC-01,197.9,2018,78.9,OPERATIONAL
AST-014,SWITCH-KM-168.6,SWITCH Segment at KM 168.6,SWITCH,CIVIL,SEC-NDLS-AGC-01,168.6,2013,86.1,OPERATIONAL
AST-015,SWITCH-KM-80.2,SWITCH Segment at KM 80.2,SWITCH,CIVIL,SEC-NDLS-AGC-01,80.2,2019,48.5,DEGRADED
AST-016,OHE-KM-131.1,OHE Segment at KM 131.1,OHE,ELECTRICAL,SEC-NDLS-AGC-01,131.1,2020,66.0,MAINTENANCE_REQUIRED
AST-017,AXLE_COUNTER-KM-53.0,AXLE_COUNTER Segment at KM 53.0,AXLE_COUNTER,SIGNAL_TELECOM,SEC-NDLS-AGC-01,53.0,2018,58.1,MAINTENANCE_REQUIRED
AST-018,CANTILEVER-KM-116.9,CANTILEVER Segment at KM 116.9,CANTILEVER,ELECTRICAL,SEC-NDLS-AGC-01,116.9,2016,92.6,OPERATIONAL
AST-019,OHE-KM-199.5,OHE Segment at KM 199.5,OHE,ELECTRICAL,SEC-NDLS-AGC-01,199.5,2017,52.3,MAINTENANCE_REQUIRED
AST-020,TRACK-KM-172.2,TRACK Segment at KM 172.2,TRACK,CIVIL,SEC-NDLS-AGC-01,172.2,2012,53.1,MAINTENANCE_REQUIRED
AST-021,SIGNAL-KM-77.0,SIGNAL Segment at KM 77.0,SIGNAL,SIGNAL_TELECOM,SEC-NDLS-AGC-01,77.0,2017,76.6,OPERATIONAL
AST-022,CANTILEVER-KM-172.2,CANTILEVER Segment at KM 172.2,CANTILEVER,ELECTRICAL,SEC-NDLS-AGC-01,172.2,2021,45.6,DEGRADED
AST-023,SWITCH-KM-153.7,SWITCH Segment at KM 153.7,SWITCH,CIVIL,SEC-NDLS-AGC-01,153.7,2014,63.0,MAINTENANCE_REQUIRED
AST-024,AXLE_COUNTER-KM-90.7,AXLE_COUNTER Segment at KM 90.7,AXLE_COUNTER,SIGNAL_TELECOM,SEC-NDLS-AGC-01,90.7,2021,95.6,OPERATIONAL
AST-025,CANTILEVER-KM-152.4,CANTILEVER Segment at KM 152.4,CANTILEVER,ELECTRICAL,SEC-NDLS-AGC-01,152.4,2011,71.9,OPERATIONAL
AST-026,CANTILEVER-KM-101.5,CANTILEVER Segment at KM 101.5,CANTILEVER,ELECTRICAL,SEC-NDLS-AGC-01,101.5,2015,55.5,MAINTENANCE_REQUIRED
AST-027,TRACK-KM-119.8,TRACK Segment at KM 119.8,TRACK,CIVIL,SEC-NDLS-AGC-01,119.8,2011,70.9,OPERATIONAL
AST-028,SUBSTATION-KM-47.9,SUBSTATION Segment at KM 47.9,SUBSTATION,ELECTRICAL,SEC-NDLS-AGC-01,47.9,2019,57.8,MAINTENANCE_REQUIRED
AST-029,TRACK-KM-146.4,TRACK Segment at KM 146.4,TRACK,CIVIL,SEC-NDLS-AGC-01,146.4,2022,88.2,OPERATIONAL
AST-030,TURNOUT-KM-132.0,TURNOUT Segment at KM 132.0,TURNOUT,CIVIL,SEC-NDLS-AGC-01,132.0,2012,95.2,OPERATIONAL
AST-031,CANTILEVER-KM-174.5,CANTILEVER Segment at KM 174.5,CANTILEVER,ELECTRICAL,SEC-NDLS-AGC-01,174.5,2013,67.4,MAINTENANCE_REQUIRED
AST-032,SWITCH-KM-79.8,SWITCH Segment at KM 79.8,SWITCH,CIVIL,SEC-NDLS-AGC-01,79.8,2015,80.6,OPERATIONAL
AST-033,CABLE-KM-24.2,CABLE Segment at KM 24.2,CABLE,SIGNAL_TELECOM,SEC-NDLS-AGC-01,24.2,2015,56.9,MAINTENANCE_REQUIRED
AST-034,TURNOUT-KM-117.7,TURNOUT Segment at KM 117.7,TURNOUT,CIVIL,SEC-NDLS-AGC-01,117.7,2021,45.4,DEGRADED
AST-035,TURNOUT-KM-13.5,TURNOUT Segment at KM 13.5,TURNOUT,CIVIL,SEC-NDLS-AGC-01,13.5,2015,46.7,DEGRADED
AST-036,TURNOUT-KM-55.7,TURNOUT Segment at KM 55.7,TURNOUT,CIVIL,SEC-NDLS-AGC-01,55.7,2018,70.7,OPERATIONAL
AST-037,BRIDGE-KM-48.6,BRIDGE Segment at KM 48.6,BRIDGE,CIVIL,SEC-NDLS-AGC-01,48.6,2016,70.1,OPERATIONAL
AST-038,TRACK-KM-19.4,TRACK Segment at KM 19.4,TRACK,CIVIL,SEC-NDLS-AGC-01,19.4,2016,67.8,MAINTENANCE_REQUIRED
AST-039,CABLE-KM-172.8,CABLE Segment at KM 172.8,CABLE,SIGNAL_TELECOM,SEC-NDLS-AGC-01,172.8,2020,47.9,DEGRADED
AST-040,TRACK-KM-80.5,TRACK Segment at KM 80.5,TRACK,CIVIL,SEC-NDLS-AGC-01,80.5,2011,63.0,MAINTENANCE_REQUIRED
AST-041,TURNOUT-KM-38.0,TURNOUT Segment at KM 38.0,TURNOUT,CIVIL,SEC-NDLS-AGC-01,38.0,2016,68.8,MAINTENANCE_REQUIRED
AST-042,SWITCH-KM-92.5,SWITCH Segment at KM 92.5,SWITCH,CIVIL,SEC-NDLS-AGC-01,92.5,2011,91.3,OPERATIONAL
AST-043,SIGNAL-KM-10.1,SIGNAL Segment at KM 10.1,SIGNAL,SIGNAL_TELECOM,SEC-NDLS-AGC-01,10.1,2010,98.0,OPERATIONAL
AST-044,TURNOUT-KM-33.3,TURNOUT Segment at KM 33.3,TURNOUT,CIVIL,SEC-NDLS-AGC-01,33.3,2013,70.7,OPERATIONAL
AST-045,SIGNAL-KM-32.9,SIGNAL Segment at KM 32.9,SIGNAL,SIGNAL_TELECOM,SEC-NDLS-AGC-01,32.9,2016,45.1,DEGRADED
AST-046,SUBSTATION-KM-57.0,SUBSTATION Segment at KM 57.0,SUBSTATION,ELECTRICAL,SEC-NDLS-AGC-01,57.0,2021,81.9,OPERATIONAL
AST-047,AXLE_COUNTER-KM-38.0,AXLE_COUNTER Segment at KM 38.0,AXLE_COUNTER,SIGNAL_TELECOM,SEC-NDLS-AGC-01,38.0,2010,56.5,MAINTENANCE_REQUIRED
AST-048,SWITCH-KM-11.4,SWITCH Segment at KM 11.4,SWITCH,CIVIL,SEC-NDLS-AGC-01,11.4,2018,76.0,OPERATIONAL
AST-049,TRACK-KM-192.2,TRACK Segment at KM 192.2,TRACK,CIVIL,SEC-NDLS-AGC-01,192.2,2012,49.2,DEGRADED
AST-050,TRACK-KM-135.0,TRACK Segment at KM 135.0,TRACK,CIVIL,SEC-NDLS-AGC-01,135.0,2011,57.5,MAINTENANCE_REQUIRED
AST-051,TRACK-KM-123.9,TRACK Segment at KM 123.9,TRACK,CIVIL,SEC-NDLS-AGC-01,123.9,2019,67.2,MAINTENANCE_REQUIRED
AST-052,SUBSTATION-KM-40.9,SUBSTATION Segment at KM 40.9,SUBSTATION,ELECTRICAL,SEC-NDLS-AGC-01,40.9,2013,83.0,OPERATIONAL
AST-053,SUBSTATION-KM-26.2,SUBSTATION Segment at KM 26.2,SUBSTATION,ELECTRICAL,SEC-NDLS-AGC-01,26.2,2017,79.2,OPERATIONAL
AST-054,OHE-KM-1.9,OHE Segment at KM 1.9,OHE,ELECTRICAL,SEC-NDLS-AGC-01,1.9,2019,77.9,OPERATIONAL
AST-055,TRACK-KM-107.5,TRACK Segment at KM 107.5,TRACK,CIVIL,SEC-NDLS-AGC-01,107.5,2012,71.8,OPERATIONAL
AST-056,OHE-KM-175.9,OHE Segment at KM 175.9,OHE,ELECTRICAL,SEC-NDLS-AGC-01,175.9,2012,64.6,MAINTENANCE_REQUIRED
AST-057,RELAY_BOX-KM-122.3,RELAY_BOX Segment at KM 122.3,RELAY_BOX,SIGNAL_TELECOM,SEC-NDLS-AGC-01,122.3,2020,97.3,OPERATIONAL
AST-058,SWITCH-KM-186.4,SWITCH Segment at KM 186.4,SWITCH,CIVIL,SEC-NDLS-AGC-01,186.4,2012,50.5,MAINTENANCE_REQUIRED
AST-059,OHE-KM-177.9,OHE Segment at KM 177.9,OHE,ELECTRICAL,SEC-NDLS-AGC-01,177.9,2012,84.3,OPERATIONAL
