asset_id,asset_age,defect_severity,defect_frequency,previous_failures,traffic_density,maintenance_delay,inspection_score,environmental_factor,risk_score
AST-002,13,86,0,0,48.4,30,52.5,0.9,52.2
AST-003,9,47,5,0,30.7,23,65.4,0.89,64.97
AST-004,18,100,3,4,80.3,21,87.6,0.85,99.0
AST-005,24,15,6,0,71.4,2,90.9,1.2,97.2
AST-006,19,61,10,3,56.1,12,41.2,1.03,99.0
AST-007,20,68,5,0,69.3,3,54.4,1.21,99.0
AST-008,17,20,6,2,97.1,7,59.7,0.92,97.52000000000001
AST-009,17,91,1,4,75.9,28,85.8,1.05,99.0
AST-010,21,28,3,0,43.2,6,50.2,0.91,63.7
AST-011,25,93,1,1,115.6,20,69.2,1.33,99.0
AST-012,25,84,7,4,87.9,19,59.1,1.48,99.0
AST-013,11,29,7,0,72.2,20,57.9,0.99,85.14
AST-014,2,55,8,0,57.9,14,42.2,1.06,99.0
AST-015,10,19,10,0,85.4,16,62.7,1.21,99.0
AST-016,24,15,7,4,88.7,10,75.7,1.15,99.0
AST-017,2,67,1,2,118.4,2,69.8,0.92,59.800000000000004
AST-018,8,100,7,3,77.2,19,49.4,1.06,99.0
AST-019,10,59,6,2,91.1,1,86.6,1.25,99.0
AST-020,3,52,1,4,91.1,9,54.9,1.4,99.0
AST-021,20,29,5,0,82.4,4,94.1,1.02,74.46000000000001
AST-022,21,99,10,3,41.6,22,95.3,1.02,99.0
AST-023,13,92,5,1,90.3,26,95.9,1.5,99.0
AST-024,17,21,10,3,75.8,0,61.4,0.93,99.0
AST-025,7,53,7,1,50.4,4,49.1,1.01,99.0
AST-026,4,74,8,4,33.4,10,91.7,1.23,99.0
AST-027,20,58,2,1,46.3,22,85.5,1.37,99.0
AST-028,6,66,0,3,62.8,23,54.0,1.11,86.58000000000001
AST-029,10,67,3,4,51.5,30,87.7,1.13,99.0
AST-030,7,57,10,4,118.6,14,85.4,1.34,99.0
AST-031,17,77,6,1,103.5,25,75.7,1.41,99.0
AST-032,2,92,7,2,79.9,3,82.0,1.16,99.0
AST-033,4,46,1,1,54.6,28,70.3,1.38,66.24
AST-034,3,38,7,2,113.7,13,43.1,1.15,99.0
AST-035,8,59,1,2,50.2,10,94.9,1.39,87.57
AST-036,21,52,2,1,33.4,29,89.0,1.29,94.17
AST-037,5,100,7,3,85.4,28,44.7,0.98,99.0
AST-038,5,80,9,4,68.1,24,57.0,1.01,99.0
AST-039,2,40,6,4,71.1,3,89.4,1.15,99.0
AST-040,18,12,10,4,81.8,22,48.5,1.1,99.0
AST-041,20,55,3,4,67.5,21,79.4,1.17,99.0
AST-042,12,18,8,4,75.7,16,72.7,1.07,99.0
AST-043,16,15,10,3,118.3,8,84.1,1.05,99.0
AST-044,3,54,3,0,99.4,23,84.6,0.89,43.61
AST-045,12,79,5,1,104.7,21,67.4,1.29,99.0
AST-046,21,33,2,0,94.4,30,67.0,1.01,60.6
AST-047,2,35,0,2,114.0,16,63.5,1.37,65.76
AST-048,16,42,0,1,55.7,27,86.1,1.41,69.08999999999999
AST-049,11,44,1,2,69.3,12,83.9,1.43,91.52
AST-050,13,53,2,3,92.3,11,94.5,1.16,99.0
AST-001,3,64,1,3,84.2,26,50.6,1.01,82.82000000000001
AST-002,4,20,5,2,57.6,19,82.3,0.92,71.76
