id,request_id,source_system,department_id,asset_id,task_type,section_id,location_km,latitude,longitude,priority,severity,estimated_duration_minutes,required_block_type,safety_requirements,status,created_at
uuid-cluster-1,TMS-001,TMS,CIVIL,AST-001,Deep Ballast Tamping,SEC-NDLS-AGC-01,120.0,28.0,77.68,HIGH,78,60,TRAFFIC_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-06T06:17:12.371621+00:00
uuid-cluster-2,TMS-002,TMS,CIVIL,AST-002,Weld Defect Rectification,SEC-NDLS-AGC-01,122.0,27.990000000000002,77.688,MEDIUM,81,30,TRAFFIC_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-05T15:17:12.371642+00:00
uuid-cluster-3,SMMS-003,SMMS,ELECTRICAL,AST-003,Substation Transformer Check,SEC-NDLS-AGC-01,124.2,27.979000000000003,77.6968,HIGH,92,45,POWER_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-06T04:17:12.371651+00:00
uuid-cluster-4,TMS-004,TMS,CIVIL,AST-004,Joint Inspection,SEC-NDLS-AGC-01,124.5,27.977500000000003,77.69800000000001,CRITICAL,63,30,JOINT_POSSESSION,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-05T16:17:12.371657+00:00
uuid-cluster-5,SMMS-005,SMMS,SIGNAL_TELECOM,AST-005,Signaling Cable Trenching,SEC-NDLS-AGC-01,125.0,27.975,77.7,MEDIUM,77,30,TRAFFIC_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-06T12:17:12.371663+00:00
uuid-cluster-6,TMS-006,TMS,CIVIL,AST-006,Deep Ballast Tamping,SEC-NDLS-AGC-01,126.0,27.970000000000002,77.70400000000001,MEDIUM,68,60,TRAFFIC_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-06T04:17:12.371668+00:00
uuid-cluster-7,TMS-007,TMS,CIVIL,AST-007,Ultrasonic Flaw Detection,SEC-NDLS-AGC-01,128.5,27.957500000000003,77.714,HIGH,88,60,TRAFFIC_BLOCK,"LOOKOUT_MAN,SPEED_RESTRICTION",PENDING,2026-09-05T14:17:12.371674+00:00
uuid-req-8,TDMS-008,TDMS,SIGNAL_TELECOM,AST-009,Axle Counter Maintenance,SEC-NDLS-AGC-01,1.9,28.590500000000002,77.2076,LOW,39,90,TRAFFIC_BLOCK,TRACK_CAUTION,PENDING,2026-09-04T13:17:12.371688+00:00
uuid-req-9,TMS-009,TMS,CIVIL,AST-010,Rail Grinding,SEC-NDLS-AGC-01,25.5,28.4725,77.302,HIGH,66,25,JOINT_POSSESSION,TRACK_CAUTION,PENDING,2026-09-05T10:17:12.371697+00:00
uuid-req-10,TMS-010,TMS,CIVIL,AST-011,Weld Defect Rectification,SEC-NDLS-AGC-01,20.6,28.497,77.28240000000001,CRITICAL,39,30,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-05T14:17:12.371705+00:00
uuid-req-11,SMMS-011,SMMS,SIGNAL_TELECOM,AST-012,Signal Relay Testing,SEC-NDLS-AGC-01,35.9,28.4205,77.34360000000001,HIGH,72,30,JOINT_POSSESSION,TRACK_CAUTION,PENDING,2026-09-05T16:17:12.371712+00:00
uuid-req-12,TMS-012,TMS,CIVIL,AST-013,Rail Grinding,SEC-NDLS-AGC-01,174.4,27.728,77.8976,CRITICAL,48,30,CAUTION,TRACK_CAUTION,PENDING,2026-09-04T16:17:12.371720+00:00
uuid-req-13,SMMS-013,SMMS,ELECTRICAL,AST-014,Cantilever Bracket Repair,SEC-NDLS-AGC-01,44.6,28.377000000000002,77.3784,MEDIUM,71,45,JOINT_POSSESSION,TRACK_CAUTION,PENDING,2026-09-06T04:17:12.371726+00:00
uuid-req-14,TDMS-014,TDMS,ELECTRICAL,AST-015,Substation Transformer Check,SEC-NDLS-AGC-01,128.3,27.9585,77.7132,CRITICAL,88,45,TRAFFIC_BLOCK,TRACK_CAUTION,PENDING,2026-09-05T22:17:12.371733+00:00
uuid-req-15,SMMS-015,SMMS,ELECTRICAL,AST-016,Cantilever Bracket Repair,SEC-NDLS-AGC-01,116.1,28.0195,77.6644,HIGH,24,25,SHUTDOWN,TRACK_CAUTION,PENDING,2026-09-04T05:17:12.371739+00:00
uuid-req-16,TDMS-016,TDMS,ELECTRICAL,AST-017,Substation Transformer Check,SEC-NDLS-AGC-01,87.3,28.163500000000003,77.5492,LOW,69,90,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-05T04:17:12.371745+00:00
uuid-req-17,TMS-017,TMS,CIVIL,AST-018,Weld Defect Rectification,SEC-NDLS-AGC-01,87.2,28.164,77.5488,MEDIUM,66,60,TRAFFIC_BLOCK,TRACK_CAUTION,PENDING,2026-09-04T18:17:12.371755+00:00
uuid-req-18,TDMS-018,TDMS,ELECTRICAL,AST-019,OHE Wire Inspection,SEC-NDLS-AGC-01,144.0,27.880000000000003,77.776,HIGH,84,45,CAUTION,TRACK_CAUTION,PENDING,2026-09-04T19:17:12.371763+00:00
uuid-req-19,SMMS-019,SMMS,SIGNAL_TELECOM,AST-020,Track Circuit Inspection,SEC-NDLS-AGC-01,110.9,28.0455,77.6436,MEDIUM,73,60,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-04T22:17:12.371770+00:00
uuid-req-20,TDMS-020,TDMS,SIGNAL_TELECOM,AST-021,Axle Counter Maintenance,SEC-NDLS-AGC-01,166.7,27.7665,77.8668,HIGH,56,30,CAUTION,TRACK_CAUTION,PENDING,2026-09-04T19:17:12.371776+00:00
uuid-req-21,SMMS-021,SMMS,SIGNAL_TELECOM,AST-022,Signaling Cable Trenching,SEC-NDLS-AGC-01,88.4,28.158,77.5536,MEDIUM,85,60,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-06T02:17:12.371784+00:00
uuid-req-22,TDMS-022,TDMS,ELECTRICAL,AST-023,Insulator Wash,SEC-NDLS-AGC-01,132.8,27.936,77.7312,HIGH,31,30,JOINT_POSSESSION,TRACK_CAUTION,PENDING,2026-09-05T08:17:12.371790+00:00
uuid-req-23,TMS-023,TMS,CIVIL,AST-024,Ultrasonic Flaw Detection,SEC-NDLS-AGC-01,4.9,28.5755,77.2196,MEDIUM,80,90,TRAFFIC_BLOCK,TRACK_CAUTION,PENDING,2026-09-04T02:17:12.371799+00:00
uuid-req-24,TDMS-024,TDMS,SIGNAL_TELECOM,AST-025,Axle Counter Maintenance,SEC-NDLS-AGC-01,38.9,28.4055,77.35560000000001,CRITICAL,83,60,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-05T18:17:12.371807+00:00
uuid-req-25,TMS-025,TMS,CIVIL,AST-026,Joint Inspection,SEC-NDLS-AGC-01,172.1,27.7395,77.8884,LOW,74,30,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-03T18:17:12.371813+00:00
uuid-req-26,TDMS-026,TDMS,SIGNAL_TELECOM,AST-027,Signal Relay Testing,SEC-NDLS-AGC-01,111.5,28.0425,77.646,LOW,78,30,CAUTION,TRACK_CAUTION,PENDING,2026-09-03T17:17:12.371819+00:00
uuid-req-27,SMMS-027,SMMS,ELECTRICAL,AST-028,Pantograph Strip Inspection,SEC-NDLS-AGC-01,122.5,27.9875,77.69,CRITICAL,90,60,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-04T00:17:12.371827+00:00
uuid-req-28,TDMS-028,TDMS,SIGNAL_TELECOM,AST-029,Track Circuit Inspection,SEC-NDLS-AGC-01,150.4,27.848000000000003,77.80160000000001,HIGH,86,60,POWER_BLOCK,TRACK_CAUTION,PENDING,2026-09-05T01:17:12.371833+00:00
uuid-req-29,SMMS-029,SMMS,SIGNAL_TELECOM,AST-030,Signal Relay Testing,SEC-NDLS-AGC-01,142.7,27.8865,77.77080000000001,MEDIUM,54,45,JOINT_POSSESSION,TRACK_CAUTION,PENDING,2026-09-03T15:17:12.371839+00:00
