id,train_id,train_number,section_id,start_km,end_km,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,delay_minutes
PATH-12301-0,TRN-001,12301,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T17:47:00+00:00,2026-09-07T17:57:00+00:00,2026-09-07T17:47:00+00:00,2026-09-07T17:57:00+00:00,0
PATH-12301-1,TRN-001,12301,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T18:02:00+00:00,2026-09-07T18:12:00+00:00,2026-09-07T18:02:00+00:00,2026-09-07T18:12:00+00:00,0
PATH-12301-2,TRN-001,12301,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T18:17:00+00:00,2026-09-07T18:27:00+00:00,2026-09-07T18:17:00+00:00,2026-09-07T18:27:00+00:00,0
PATH-12301-3,TRN-001,12301,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T18:32:00+00:00,2026-09-07T18:42:00+00:00,2026-09-07T18:32:00+00:00,2026-09-07T18:42:00+00:00,0
PATH-12301-4,TRN-001,12301,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T18:47:00+00:00,2026-09-07T18:57:00+00:00,2026-09-07T18:47:00+00:00,2026-09-07T18:57:00+00:00,0
PATH-12301-5,TRN-001,12301,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T19:02:00+00:00,2026-09-07T19:12:00+00:00,2026-09-07T19:02:00+00:00,2026-09-07T19:12:00+00:00,0
PATH-12301-6,TRN-001,12301,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T19:17:00+00:00,2026-09-07T19:27:00+00:00,2026-09-07T19:17:00+00:00,2026-09-07T19:27:00+00:00,0
PATH-12301-7,TRN-001,12301,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T19:32:00+00:00,2026-09-07T19:42:00+00:00,2026-09-07T19:32:00+00:00,2026-09-07T19:42:00+00:00,0
PATH-12301-8,TRN-001,12301,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T19:47:00+00:00,2026-09-07T19:57:00+00:00,2026-09-07T19:47:00+00:00,2026-09-07T19:57:00+00:00,0
PATH-12301-9,TRN-001,12301,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T20:02:00+00:00,2026-09-07T20:12:00+00:00,2026-09-07T20:02:00+00:00,2026-09-07T20:12:00+00:00,0
PATH-12951-0,TRN-002,12951,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T10:17:00+00:00,2026-09-07T10:27:00+00:00,2026-09-07T10:17:00+00:00,2026-09-07T10:27:00+00:00,0
PATH-12951-1,TRN-002,12951,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T10:32:00+00:00,2026-09-07T10:42:00+00:00,2026-09-07T10:32:00+00:00,2026-09-07T10:42:00+00:00,0
PATH-12951-2,TRN-002,12951,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T10:47:00+00:00,2026-09-07T10:57:00+00:00,2026-09-07T10:47:00+00:00,2026-09-07T10:57:00+00:00,0
PATH-12951-3,TRN-002,12951,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T11:02:00+00:00,2026-09-07T11:12:00+00:00,2026-09-07T11:02:00+00:00,2026-09-07T11:12:00+00:00,0
PATH-12951-4,TRN-002,12951,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T11:17:00+00:00,2026-09-07T11:27:00+00:00,2026-09-07T11:17:00+00:00,2026-09-07T11:27:00+00:00,0
PATH-12951-5,TRN-002,12951,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T11:32:00+00:00,2026-09-07T11:42:00+00:00,2026-09-07T11:32:00+00:00,2026-09-07T11:42:00+00:00,0
PATH-12951-6,TRN-002,12951,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T11:47:00+00:00,2026-09-07T11:57:00+00:00,2026-09-07T11:47:00+00:00,2026-09-07T11:57:00+00:00,0
PATH-12951-7,TRN-002,12951,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T12:02:00+00:00,2026-09-07T12:12:00+00:00,2026-09-07T12:02:00+00:00,2026-09-07T12:12:00+00:00,0
PATH-12951-8,TRN-002,12951,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T12:17:00+00:00,2026-09-07T12:27:00+00:00,2026-09-07T12:17:00+00:00,2026-09-07T12:27:00+00:00,0
PATH-12951-9,TRN-002,12951,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T12:32:00+00:00,2026-09-07T12:42:00+00:00,2026-09-07T12:32:00+00:00,2026-09-07T12:42:00+00:00,0
PATH-20171-0,TRN-003,20171,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T15:38:00+00:00,2026-09-07T15:48:00+00:00,2026-09-07T15:38:00+00:00,2026-09-07T15:48:00+00:00,0
PATH-20171-1,TRN-003,20171,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T15:53:00+00:00,2026-09-07T16:03:00+00:00,2026-09-07T15:53:00+00:00,2026-09-07T16:03:00+00:00,0
PATH-20171-2,TRN-003,20171,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T16:08:00+00:00,2026-09-07T16:18:00+00:00,2026-09-07T16:08:00+00:00,2026-09-07T16:18:00+00:00,0
PATH-20171-3,TRN-003,20171,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T16:23:00+00:00,2026-09-07T16:33:00+00:00,2026-09-07T16:23:00+00:00,2026-09-07T16:33:00+00:00,0
PATH-20171-4,TRN-003,20171,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T16:38:00+00:00,2026-09-07T16:48:00+00:00,2026-09-07T16:38:00+00:00,2026-09-07T16:48:00+00:00,0
PATH-20171-5,TRN-003,20171,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T16:53:00+00:00,2026-09-07T17:03:00+00:00,2026-09-07T16:53:00+00:00,2026-09-07T17:03:00+00:00,0
PATH-20171-6,TRN-003,20171,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T17:08:00+00:00,2026-09-07T17:18:00+00:00,2026-09-07T17:08:00+00:00,2026-09-07T17:18:00+00:00,0
PATH-20171-7,TRN-003,20171,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T17:23:00+00:00,2026-09-07T17:33:00+00:00,2026-09-07T17:23:00+00:00,2026-09-07T17:33:00+00:00,0
PATH-20171-8,TRN-003,20171,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T17:38:00+00:00,2026-09-07T17:48:00+00:00,2026-09-07T17:38:00+00:00,2026-09-07T17:48:00+00:00,0
PATH-20171-9,TRN-003,20171,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T17:53:00+00:00,2026-09-07T18:03:00+00:00,2026-09-07T17:53:00+00:00,2026-09-07T18:03:00+00:00,0
PATH-12002-0,TRN-004,12002,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T01:03:00+00:00,2026-09-07T01:13:00+00:00,2026-09-07T01:03:00+00:00,2026-09-07T01:13:00+00:00,0
PATH-12002-1,TRN-004,12002,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T01:18:00+00:00,2026-09-07T01:28:00+00:00,2026-09-07T01:18:00+00:00,2026-09-07T01:28:00+00:00,0
PATH-12002-2,TRN-004,12002,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T01:33:00+00:00,2026-09-07T01:43:00+00:00,2026-09-07T01:33:00+00:00,2026-09-07T01:43:00+00:00,0
PATH-12002-3,TRN-004,12002,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T01:48:00+00:00,2026-09-07T01:58:00+00:00,2026-09-07T01:48:00+00:00,2026-09-07T01:58:00+00:00,0
PATH-12002-4,TRN-004,12002,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T02:03:00+00:00,2026-09-07T02:13:00+00:00,2026-09-07T02:03:00+00:00,2026-09-07T02:13:00+00:00,0
PATH-12002-5,TRN-004,12002,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T02:18:00+00:00,2026-09-07T02:28:00+00:00,2026-09-07T02:18:00+00:00,2026-09-07T02:28:00+00:00,0
PATH-12002-6,TRN-004,12002,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T02:33:00+00:00,2026-09-07T02:43:00+00:00,2026-09-07T02:33:00+00:00,2026-09-07T02:43:00+00:00,0
PATH-12002-7,TRN-004,12002,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T02:48:00+00:00,2026-09-07T02:58:00+00:00,2026-09-07T02:48:00+00:00,2026-09-07T02:58:00+00:00,0
PATH-12002-8,TRN-004,12002,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T03:03:00+00:00,2026-09-07T03:13:00+00:00,2026-09-07T03:03:00+00:00,2026-09-07T03:13:00+00:00,0
PATH-12002-9,TRN-004,12002,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T03:18:00+00:00,2026-09-07T03:28:00+00:00,2026-09-07T03:18:00+00:00,2026-09-07T03:28:00+00:00,0
PATH-12616-0,TRN-005,12616,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T02:04:00+00:00,2026-09-07T02:14:00+00:00,2026-09-07T02:04:00+00:00,2026-09-07T02:14:00+00:00,0
PATH-12616-1,TRN-005,12616,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T02:19:00+00:00,2026-09-07T02:29:00+00:00,2026-09-07T02:19:00+00:00,2026-09-07T02:29:00+00:00,0
PATH-12616-2,TRN-005,12616,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T02:34:00+00:00,2026-09-07T02:44:00+00:00,2026-09-07T02:34:00+00:00,2026-09-07T02:44:00+00:00,0
PATH-12616-3,TRN-005,12616,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T02:49:00+00:00,2026-09-07T02:59:00+00:00,2026-09-07T02:49:00+00:00,2026-09-07T02:59:00+00:00,0
PATH-12616-4,TRN-005,12616,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T03:04:00+00:00,2026-09-07T03:14:00+00:00,2026-09-07T03:04:00+00:00,2026-09-07T03:14:00+00:00,0
PATH-12616-5,TRN-005,12616,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T03:19:00+00:00,2026-09-07T03:29:00+00:00,2026-09-07T03:19:00+00:00,2026-09-07T03:29:00+00:00,0
PATH-12616-6,TRN-005,12616,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T03:34:00+00:00,2026-09-07T03:44:00+00:00,2026-09-07T03:34:00+00:00,2026-09-07T03:44:00+00:00,0
PATH-12616-7,TRN-005,12616,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T03:49:00+00:00,2026-09-07T03:59:00+00:00,2026-09-07T03:49:00+00:00,2026-09-07T03:59:00+00:00,0
PATH-12616-8,TRN-005,12616,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T04:04:00+00:00,2026-09-07T04:14:00+00:00,2026-09-07T04:04:00+00:00,2026-09-07T04:14:00+00:00,0
PATH-12616-9,TRN-005,12616,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T04:19:00+00:00,2026-09-07T04:29:00+00:00,2026-09-07T04:19:00+00:00,2026-09-07T04:29:00+00:00,0
PATH-12724-0,TRN-006,12724,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T16:20:00+00:00,2026-09-07T16:30:00+00:00,2026-09-07T16:20:00+00:00,2026-09-07T16:30:00+00:00,0
PATH-12724-1,TRN-006,12724,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T16:35:00+00:00,2026-09-07T16:45:00+00:00,2026-09-07T16:35:00+00:00,2026-09-07T16:45:00+00:00,0
PATH-12724-2,TRN-006,12724,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T16:50:00+00:00,2026-09-07T17:00:00+00:00,2026-09-07T16:50:00+00:00,2026-09-07T17:00:00+00:00,0
PATH-12724-3,TRN-006,12724,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T17:05:00+00:00,2026-09-07T17:15:00+00:00,2026-09-07T17:05:00+00:00,2026-09-07T17:15:00+00:00,0
PATH-12724-4,TRN-006,12724,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T17:20:00+00:00,2026-09-07T17:30:00+00:00,2026-09-07T17:20:00+00:00,2026-09-07T17:30:00+00:00,0
PATH-12724-5,TRN-006,12724,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T17:35:00+00:00,2026-09-07T17:45:00+00:00,2026-09-07T17:35:00+00:00,2026-09-07T17:45:00+00:00,0
PATH-12724-6,TRN-006,12724,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T17:50:00+00:00,2026-09-07T18:00:00+00:00,2026-09-07T17:50:00+00:00,2026-09-07T18:00:00+00:00,0
PATH-12724-7,TRN-006,12724,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T18:05:00+00:00,2026-09-07T18:15:00+00:00,2026-09-07T18:05:00+00:00,2026-09-07T18:15:00+00:00,0
PATH-12724-8,TRN-006,12724,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T18:20:00+00:00,2026-09-07T18:30:00+00:00,2026-09-07T18:20:00+00:00,2026-09-07T18:30:00+00:00,0
PATH-12724-9,TRN-006,12724,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T18:35:00+00:00,2026-09-07T18:45:00+00:00,2026-09-07T18:35:00+00:00,2026-09-07T18:45:00+00:00,0
PATH-12448-0,TRN-007,12448,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T13:42:00+00:00,2026-09-07T13:52:00+00:00,2026-09-07T13:42:00+00:00,2026-09-07T13:52:00+00:00,0
PATH-12448-1,TRN-007,12448,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T13:57:00+00:00,2026-09-07T14:07:00+00:00,2026-09-07T13:57:00+00:00,2026-09-07T14:07:00+00:00,0
PATH-12448-2,TRN-007,12448,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T14:12:00+00:00,2026-09-07T14:22:00+00:00,2026-09-07T14:12:00+00:00,2026-09-07T14:22:00+00:00,0
PATH-12448-3,TRN-007,12448,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T14:27:00+00:00,2026-09-07T14:37:00+00:00,2026-09-07T14:27:00+00:00,2026-09-07T14:37:00+00:00,0
PATH-12448-4,TRN-007,12448,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T14:42:00+00:00,2026-09-07T14:52:00+00:00,2026-09-07T14:42:00+00:00,2026-09-07T14:52:00+00:00,0
PATH-12448-5,TRN-007,12448,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T14:57:00+00:00,2026-09-07T15:07:00+00:00,2026-09-07T14:57:00+00:00,2026-09-07T15:07:00+00:00,0
PATH-12448-6,TRN-007,12448,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T15:12:00+00:00,2026-09-07T15:22:00+00:00,2026-09-07T15:12:00+00:00,2026-09-07T15:22:00+00:00,0
PATH-12448-7,TRN-007,12448,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T15:27:00+00:00,2026-09-07T15:37:00+00:00,2026-09-07T15:27:00+00:00,2026-09-07T15:37:00+00:00,0
PATH-12448-8,TRN-007,12448,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T15:42:00+00:00,2026-09-07T15:52:00+00:00,2026-09-07T15:42:00+00:00,2026-09-07T15:52:00+00:00,0
PATH-12448-9,TRN-007,12448,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T15:57:00+00:00,2026-09-07T16:07:00+00:00,2026-09-07T15:57:00+00:00,2026-09-07T16:07:00+00:00,0
PATH-12622-0,TRN-008,12622,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T14:33:00+00:00,2026-09-07T14:43:00+00:00,2026-09-07T14:33:00+00:00,2026-09-07T14:43:00+00:00,0
PATH-12622-1,TRN-008,12622,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T14:48:00+00:00,2026-09-07T14:58:00+00:00,2026-09-07T14:48:00+00:00,2026-09-07T14:58:00+00:00,0
PATH-12622-2,TRN-008,12622,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T15:03:00+00:00,2026-09-07T15:13:00+00:00,2026-09-07T15:03:00+00:00,2026-09-07T15:13:00+00:00,0
PATH-12622-3,TRN-008,12622,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T15:18:00+00:00,2026-09-07T15:28:00+00:00,2026-09-07T15:18:00+00:00,2026-09-07T15:28:00+00:00,0
PATH-12622-4,TRN-008,12622,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T15:33:00+00:00,2026-09-07T15:43:00+00:00,2026-09-07T15:33:00+00:00,2026-09-07T15:43:00+00:00,0
PATH-12622-5,TRN-008,12622,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T15:48:00+00:00,2026-09-07T15:58:00+00:00,2026-09-07T15:48:00+00:00,2026-09-07T15:58:00+00:00,0
PATH-12622-6,TRN-008,12622,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T16:03:00+00:00,2026-09-07T16:13:00+00:00,2026-09-07T16:03:00+00:00,2026-09-07T16:13:00+00:00,0
PATH-12622-7,TRN-008,12622,SEC-NDLS-AGC-01,140.0,160.0,2026-09-07T16:18:00+00:00,2026-09-07T16:28:00+00:00,2026-09-07T16:18:00+00:00,2026-09-07T16:28:00+00:00,0
PATH-12622-8,TRN-008,12622,SEC-NDLS-AGC-01,160.0,180.0,2026-09-07T16:33:00+00:00,2026-09-07T16:43:00+00:00,2026-09-07T16:33:00+00:00,2026-09-07T16:43:00+00:00,0
PATH-12622-9,TRN-008,12622,SEC-NDLS-AGC-01,180.0,200.0,2026-09-07T16:48:00+00:00,2026-09-07T16:58:00+00:00,2026-09-07T16:48:00+00:00,2026-09-07T16:58:00+00:00,0
PATH-12009-0,TRN-009,12009,SEC-NDLS-AGC-01,0.0,20.0,2026-09-07T03:41:00+00:00,2026-09-07T03:51:00+00:00,2026-09-07T03:41:00+00:00,2026-09-07T03:51:00+00:00,0
PATH-12009-1,TRN-009,12009,SEC-NDLS-AGC-01,20.0,40.0,2026-09-07T03:56:00+00:00,2026-09-07T04:06:00+00:00,2026-09-07T03:56:00+00:00,2026-09-07T04:06:00+00:00,0
PATH-12009-2,TRN-009,12009,SEC-NDLS-AGC-01,40.0,60.0,2026-09-07T04:11:00+00:00,2026-09-07T04:21:00+00:00,2026-09-07T04:11:00+00:00,2026-09-07T04:21:00+00:00,0
PATH-12009-3,TRN-009,12009,SEC-NDLS-AGC-01,60.0,80.0,2026-09-07T04:26:00+00:00,2026-09-07T04:36:00+00:00,2026-09-07T04:26:00+00:00,2026-09-07T04:36:00+00:00,0
PATH-12009-4,TRN-009,12009,SEC-NDLS-AGC-01,80.0,100.0,2026-09-07T04:41:00+00:00,2026-09-07T04:51:00+00:00,2026-09-07T04:41:00+00:00,2026-09-07T04:51:00+00:00,0
PATH-12009-5,TRN-009,12009,SEC-NDLS-AGC-01,100.0,120.0,2026-09-07T04:56:00+00:00,2026-09-07T05:06:00+00:00,2026-09-07T04:56:00+00:00,2026-09-07T05:06:00+00:00,0
PATH-12009-6,TRN-009,12009,SEC-NDLS-AGC-01,120.0,140.0,2026-09-07T05:11:00+00:00,2026-09-07T05:21:00+00:00,2026-09-07T05:11:00+00:00,2026-09-07T05:21:00+00:00,0
