id,train_number,train_name,train_type,priority,origin,destination,status
TRN-001,12301,Howrah Rajdhani Express,EXPRESS,10,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-002,12951,Mumbai Rajdhani Express,EXPRESS,10,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-003,20171,Vande Bharat Express,EXPRESS,9,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-004,12002,Bhopal Shatabdi Express,EXPRESS,9,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-005,12616,Grand Trunk Express,EXPRESS,7,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-006,12724,Telangana Express,EXPRESS,7,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-007,12448,Uttar Pradesh Sampark Kranti,EXPRESS,6,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-008,12622,Tamil Nadu Express,EXPRESS,7,NDLS,HWH/MMCT/MAS,ON_TIME
TRN-009,12009,Express / Freight Special 9,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-010,12010,Express / Freight Special 10,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-011,12011,Express / Freight Special 11,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-012,12012,Express / Freight Special 12,SPECIAL,3,NDLS,AGC,DELAYED
TRN-013,12013,Express / Freight Special 13,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-014,12014,Express / Freight Special 14,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-015,12015,Express / Freight Special 15,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-016,12016,Express / Freight Special 16,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-017,12017,Express / Freight Special 17,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-018,12018,Express / Freight Special 18,PASSENGER,4,NDLS,AGC,DELAYED
TRN-019,12019,Express / Freight Special 19,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-020,12020,Express / Freight Special 20,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-021,12021,Express / Freight Special 21,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-022,12022,Express / Freight Special 22,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-023,12023,Express / Freight Special 23,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-024,12024,Express / Freight Special 24,PASSENGER,4,NDLS,AGC,DELAYED
TRN-025,12025,Express / Freight Special 25,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-026,12026,Express / Freight Special 26,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-027,12027,Express / Freight Special 27,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-028,12028,Express / Freight Special 28,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-029,12029,Express / Freight Special 29,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-030,12030,Express / Freight Special 30,PASSENGER,4,NDLS,AGC,DELAYED
TRN-031,12031,Express / Freight Special 31,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-032,12032,Express / Freight Special 32,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-033,12033,Express / Freight Special 33,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-034,12034,Express / Freight Special 34,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-035,12035,Express / Freight Special 35,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-036,12036,Express / Freight Special 36,EXPRESS,8,NDLS,AGC,DELAYED
TRN-037,12037,Express / Freight Special 37,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-038,12038,Express / Freight Special 38,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-039,12039,Express / Freight Special 39,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-040,12040,Express / Freight Special 40,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-041,12041,Express / Freight Special 41,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-042,12042,Express / Freight Special 42,FREIGHT,3,NDLS,AGC,DELAYED
TRN-043,12043,Express / Freight Special 43,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-044,12044,Express / Freight Special 44,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-045,12045,Express / Freight Special 45,SPECIAL,3,NDLS,AGC,ON_TIME
TRN-046,12046,Express / Freight Special 46,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-047,12047,Express / Freight Special 47,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-048,12048,Express / Freight Special 48,SPECIAL,3,NDLS,AGC,DELAYED
TRN-049,12049,Express / Freight Special 49,SPECIAL,3,NDLS,AGC,ON_TIME
TRN-050,12050,Express / Freight Special 50,FREIGHT,3,NDLS,AGC,ON_TIME
TRN-051,12051,Express / Freight Special 51,EXPRESS,8,NDLS,AGC,ON_TIME
TRN-052,12052,Express / Freight Special 52,SPECIAL,3,NDLS,AGC,ON_TIME
TRN-053,12053,Express / Freight Special 53,PASSENGER,4,NDLS,AGC,ON_TIME
TRN-054,12054,Express / Freight Special 54,EXPRESS,8,NDLS,AGC,DELAYED
